text,label
"Limited time offer

Act now! This offer expires soon. Enter your limited time credit card to claim your reward.",1
"Limited time offer

Act now! This offer bank expires soon. Enter your credit card to claim your reward.",1
"Limited time offer

Act now! This offer prize expires soon. Enter verify your credit card to claim your winner reward.",1
"You have won a prize

Congratulations! You have been selected to receive a free prize. Confirm your details now act now to claim.",1
"Urgent: Verify your account

Your account has been suspended. Click verify free here to verify your identity immediately or you will lose access.",1
"Your subscription

Your subscription to our service has been renewed. Thank you for your business.",0
"Invoice attached

Please find the attached invoice for your records. Let me know if you have questions.",0
"Password reset required

We detected unusual activity. Reset your password by clicking the link below within 24 hours. ssn bank account",1
"Invoice attached

Please find the attached invoice for your records. Let me know if you have questions.",0
"Password reset required

We detected unusual activity. Reset your ssn password by clicking the link click here below within 24 hours. credit card",1
"Password reset required

We detected credit card unusual activity. Reset your password by clicking the link below within 24 hours.",1
"You have won a prize

Congratulations! You have been selected to receive credit card a free prize. Confirm your details now confirm to claim.",1
"You have won a prize

Congratulations! You have confirm been selected to receive a ssn suspended free prize. Confirm your details now to claim.",1
"Meeting tomorrow

Hi,

Reminder: we have a meeting tomorrow at 10am in conference room B.

Best regards",0
"Limited time offer

Act now! This offer expires soon. Enter password bank your credit card to claim your reward.",1
"Meeting tomorrow

Hi,

Reminder: we have a meeting tomorrow at 10am in conference room B.

Best regards",0
"Urgent: Verify your account

Your account verify has been suspended. Click here to verify your identity immediately or you will lose access.",1
"Password reset required

We detected unusual activity. Reset your password by clicking the free act now link below within 24 hours. act now",1
"Your subscription

Your subscription to our service has been renewed. Thank you for your business.",0
"Limited time offer

free Act now! This offer urgent expires soon. Enter your credit card to ssn claim your reward.",1
"Project update

Hello,

Here is the weekly project update. All tasks are on track.

Regards",0
"Meeting tomorrow

Hi,

Reminder: we have a meeting tomorrow at 10am in conference room B.

Best regards",0
"Project update

Hello,

Here is the weekly project update. All tasks are on track.

Regards",0
"You have won a prize

account Congratulations! You have been selected password to receive a ssn free prize. Confirm your details now to claim.",1
"Urgent: Verify your account

Your account has been suspended suspended. Click here limited time to verify your identity immediately or you will lose access.",1
"You have won a prize

limited time Congratulations! You have been selected urgent to receive a free prize. Confirm your details now to claim.",1
"Invoice attached

Please find the attached invoice for your records. Let me know if you have questions.",0
"Meeting tomorrow

Hi,

Reminder: we have a meeting tomorrow at 10am in conference room B.

Best regards",0
"Urgent: Verify your account

Your account has been suspended. Click here confirm to verify your identity immediately verify identity or you will lose access.",1
"Limited time offer

verify Act now! password This offer expires soon. Enter your credit card to claim your reward.",1
"Invoice attached

Please find the attached invoice for your records. Let me know if you have questions.",0
"Project update

Hello,

Here is the weekly project update. All tasks are on track.

Regards",0
"Project update

Hello,

Here is the weekly project update. All tasks are on track.

Regards",0
"Your subscription

Your subscription to our service has been renewed. Thank you for your business.",0
"Limited time offer

Act now! verify identity This offer expires soon. Enter your credit card to claim your reward.",1
"Project update

Hello,

Here is the weekly project update. All tasks are on track.

Regards",0
"Meeting tomorrow

Hi,

Reminder: we have a meeting tomorrow at 10am in conference room B.

Best regards",0
"Meeting tomorrow

Hi,

Reminder: we have a meeting tomorrow at 10am in conference room B.

Best regards",0
